PublishDate,Publish Week Day,mins,secs,Channel,Video Name on Youtube,Level,Access,Youtube Link,New Level Color on Thumbnail,Text that differs from standart description text,Subtitles,End scrn,Cards,Chapters,Thumbnail,Scheduled,Short links in the description,Translations (title & description),Pin comment,Short link in the comment,Added to playlists,Patreon Post,Shorts,Short links in shorts,TikTok заготовка,Upload to platform,Tags,Speaker,Is a Series' Episode,Next episode link,Cut out fragments on Youtube
03.06.2024,,13,17,InhaleRussian,"Drinks (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/BfeDMhObKlY?si=1TBXDxkAxP2GNwsT,,,,,,,,,,,,,,,,,,TRUE,Food & kitchen,Nikita (Inhale Russian),,,
05.06.2024,,14,6,InhaleRussian,Hobbies (Beginner Russian Comprehensible Input),Beginner 1,Free,https://youtu.be/FsqzTE-DjWU?si=Z10BsFJs1vsmtjSg,,,,,,,,,,,,,,,,,,TRUE,"Daily life, ""Activities, how-to""",Nikita (Inhale Russian),,,
07.06.2024,,14,35,InhaleRussian,"Story of Liza Pt. 1 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/E2Hd_tpTpO0?si=9cojA0kDVCKpZHTd,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
09.06.2024,,13,12,InhaleRussian,"Story of Liza Pt. 2 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/Oj5UVDui26k?si=YyKEncckIKKSZfEH,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
11.06.2024,,15,53,InhaleRussian,"Story of Liza Pt. 3 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/fhkZNcHVYbM?si=oSoZoOvrb4VAdOH0,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
13.06.2024,,17,5,InhaleRussian,"Story of Liza Pt. 4 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/lERetZ9F77U?si=1FSLbrkNwR1k0fVB,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
15.06.2024,,17,23,InhaleRussian,"School (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/YWIxESR9oeE?si=GQsksbleb7as7TRK,,,,,,,,,,,,,,,,,,TRUE,Education,Nikita (Inhale Russian),,,
18.06.2024,,7,48,InhaleRussian,"Boy and waitress (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/65qm0cN_Zy8?si=NLPld8vcWM0_KF1M,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
20.06.2024,,10,32,InhaleRussian,"Vacation (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/jWxQUKneWkw?si=QGSEh_sOe24UmlsI,,,,,,,,,,,,,,,,,,TRUE,Holidays & leisure,Nikita (Inhale Russian),,,
22.06.2024,,10,40,InhaleRussian,"Story of Alexey (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/Dlo4pxB2WUg?si=-cbKqFFhYt_ZL5iZ,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
25.06.2024,,11,57,InhaleRussian,"Story of peasant (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/SX0XH9Q6hpc?si=ts4AMkWXF-juE74W,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
26.06.2024,,16,26,InhaleRussian,"Paradise? (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/FvKzYtuRCrU?si=TAyGDxeau-YUOh8f,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
28.06.2024,,9,58,InhaleRussian,"Describing picture (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/i-jxQ6SU65E?si=1xQqK0Ymi3rV1smg,,,,,,,,,,,,,,,,,,TRUE,Family,Nikita (Inhale Russian),,,
01.07.2024,,4,49,InhaleRussian,"Hiroshima survivor (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/J9m3VEShCO4?si=TLnQmPxbABvhlUeO,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
03.07.2024,,4,39,InhaleRussian,"Oath (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/WL_T6kPjaog?si=5Y0wVvk9JzkWHAw9,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
05.07.2024,,6,10,InhaleRussian,"Some of my gear (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/EESsM9A6fas?si=DY5vZjIJhFzifoUo,,,,,,,,,,,,,,,,,,TRUE,"Technoligies, Music, Home",Nikita (Inhale Russian),,,
07.07.2024,,7,26,InhaleRussian,"Some kitchen stuff (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/w3PhDw1lBZc?si=gcIhYzkRm2jLVEPx,,,,,,,,,,,,,,,,,,TRUE,Food & kitchen,Nikita (Inhale Russian),,,
12.07.2024,,12,58,InhaleRussian,"Park (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/miGCaayBV6Q?si=QsgEIBLq3jNp5NaS,,,,,,,,,,,,,,,,,,TRUE,City,Nikita (Inhale Russian),,,
16.07.2024,,14,25,InhaleRussian,"Two Russian girls in my kitchen (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/tVmpICrHpRk?si=BDSu5oNMbPEQ7eHk,,,,,,,,,,,,,,,,,,TRUE,"""Activities, how-to"", Food & kitchen","Alina (Inhale Russian), Angela (Inhale Russian), Nikita (Inhale Russian)",,,
17.07.2024,,9,35,InhaleRussian,"Diner (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/dTq7ocupP-A?si=bbyrJ69C__BAEzGL,,,,,,,,,,,,,,,,,,TRUE,"Food & kitchen, Home",Nikita (Inhale Russian),,,
21.07.2024,,19,44,InhaleRussian,"Interview with Angela and Alina (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/CSmic0TYypc?si=_OJd-EkZz4HiqhZD,,,,,,,,,,,,,,,,,,TRUE,Conversation,"Alina (Inhale Russian), Angela (Inhale Russian), Nikita (Inhale Russian)",,,
23.07.2024,,18,5,InhaleRussian,"Interview with me (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/LqhpChSq0pw?si=G0vm98wOQ2G9kMVt,,,,,,,,,,,,,,,,,,TRUE,Conversation,"Alina (Inhale Russian), Angela (Inhale Russian), Nikita (Inhale Russian)",,,
26.07.2024,,22,19,InhaleRussian,"Day with my sister (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/sQP5Fd8EeiU?si=9PGFddet1ccEwfXe,,,,,,,,,,,,,,,,,,TRUE,"City, Home","Nikita (Inhale Russian), Angela (Inhale Russian)",,,
29.07.2024,,33,18,InhaleRussian,"Trying Asian snacks (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/lk3kgkYUPVw?si=GH5jd4pfk0EeQEbJ,,,,,,,,,,,,,,,,,,TRUE,Food & kitchen,"Alina (Inhale Russian), Angela (Inhale Russian)",,,
02.08.2024,,13,42,InhaleRussian,"Books I read (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/g-aSSOB5U6A?si=r1Yle6vuY2mzK7yj,,,,,,,,,,,,,,,,,,TRUE,Literature,Nikita (Inhale Russian),,,
03.08.2024,,14,48,InhaleRussian,"Сharacter traits and emotions (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/P8bQ60k5IHw?si=1SsXLetI3yJzNuQo,,,,,,,,,,,,,,,,,,TRUE,Human,Nikita (Inhale Russian),,,
07.08.2024,,8,19,InhaleRussian,"Let's walk in a park (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/8zEveMmG5XQ?si=4pG00Ec_3h9r8RUN,,,,,,,,,,,,,,,,,,TRUE,City,Nikita (Inhale Russian),,,
10.08.2024,,16,3,InhaleRussian,"Let's get to know each other (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/Qvnb3wwUSwE?si=Bc6Ho5-EUFy8ayz3,,,,,,,,,,,,,,,,,,TRUE,Conversation,Nikita (Inhale Russian),,,
12.08.2024,,5,26,InhaleRussian,"People of Russia (Pre-intermediate Russian Comprehensible Input)
",Beginner 2,Free,https://youtu.be/_VaPrzNTuKA?si=7P0W0iSyyNIGGPr4,,,,,,,,,,,,,,,,,,TRUE,Culture,"Alina (Inhale Russian), Angela (Inhale Russian)",,,
23.08.2024,,13,36,InhaleRussian,"Soviet serial killer (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/RM6EjC48r6I?si=n5hwfn_Jf4v4fxeY,,,,,,,,,,,,,,,,,,TRUE,Famous people,Nikita (Inhale Russian),,,
26.08.2024,,6,0,InhaleRussian,"What's inside? (Pre-intermediate Russian Comprehensible Input)",Beginner 2,Free,https://youtu.be/X0D7JiRVU5U?si=6424OXm3YQjifikk,,,,,,,,,,,,,,,,,,TRUE,Daily life,Angela (Inhale Russian),,,
27.08.2024,,5,12,InhaleRussian,"Angela and Alina talk about habits (Pre-intermediate Russian Comprehensible Input)",Beginner 2,Free,https://youtu.be/_0JBegxKvck?si=gPXaDySq6TGUbpCa,,,,,,,,,,,,,,,,,,TRUE,Lifestyle,"Alina (Inhale Russian), Angela (Inhale Russian)",,,
30.08.2024,,6,20,InhaleRussian,"A place for your thoughts and feelings (Pre-intermediate Russian Comprehensible Input)",Beginner 2,Free,https://youtu.be/XEUmD0r0UaU?si=zruGcHogK67dAWwE,,,,,,,,,,,,,,,,,,TRUE,Lifestyle,"Alina (Inhale Russian), Angela (Inhale Russian)",,,
03.09.2024,,6,58,InhaleRussian,"Angela shows you some clothes (Beginner Russian Comprehensible Input)
",Beginner 1,Free,https://youtu.be/TpeOMLThL1A?si=ImPWo5RwRN-09r7j,,,,,,,,,,,,,,,,,,TRUE,Clothing,Angela (Inhale Russian),,,
05.09.2024,,16,19,InhaleRussian,"Vasilisa the Beautiful pt. 1 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/kaiExNCPYlE?si=Ar0Zpt5mPkwg9MXd,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
07.09.2024,,6,29,InhaleRussian,"Farm animals (Pre-intermediate Russian Comprehensible Input)",Beginner 2,Free,https://youtu.be/sGdixmeWlPo?si=z_3PHohEMqcp7Ptn,,,,,,,,,,,,,,,,,,TRUE,"Animals, Food & kitchen",Alina (Inhale Russian),,,
12.09.2024,,14,46,InhaleRussian,"Vasilisa the Beautiful pt. 2 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/IedoOtfOdPY?si=Mzq8uba9l0HxIwXG,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
14.09.2024,,14,15,InhaleRussian,"Inhale Comprehensible Russian (Intermediate Russian Comprehensible Input)",Intermediate 1,Free,https://youtu.be/Ox6Qzr_WZZo?si=rwYijgS5WuyIek1a,,,,,,,,,,,,,,,,,,TRUE,Conversation,"Inna (Comprehensible Russian), Nikita (Inhale Russian)",,,
17.09.2024,,4,53,InhaleRussian,"Angela's most and least favorite drinks (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/IESrcIkxABU?si=JVd8egCyxglkAr_2,,,,,,,,,,,,,,,,,,TRUE,Food & kitchen,Angela (Inhale Russian),,,
20.09.2024,,19,24,InhaleRussian,"Inna shares her language learning experience (Intermediate Russian Comprehensible Input)",Intermediate 1,Free,https://youtu.be/k2bmV5DeOKc?si=eRj2_KQJ-Rn0uvDC,,,,,,,,,,,,,,,,,,TRUE,"Language learning, Conversation","Inna (Comprehensible Russian), Nikita (Inhale Russian)",,,
24.09.2024,,9,28,InhaleRussian,"More colors on this channel !!! (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/JEnoYlx6dWU?si=0tDc8FkhuuvViI3f,,,,,,,,,,,,,,,,,,TRUE,"""Colors, numbers, size, units, forms""",Alina (Inhale Russian),,,
27.09.2024,,16,40,InhaleRussian,"Vasilisa the Beautiful pt. 3 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/SJeVw2gvqVo?si=zS0MJVtCkrDBJtAm,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
01.10.2024,,7,4,InhaleRussian,"Angela's day at zoo and work (Pre-intermediate Russian Comprehensible Input)",Beginner 2,Free,https://youtu.be/B1HsW5A9yug?si=vlefKdzRo5XPCfFf,,,,,,,,,,,,,,,,,,TRUE,"Work, Animals",Angela (Inhale Russian),,,
04.10.2024,,14,21,InhaleRussian,"Inna's love for Japan (Intermediate Russian)
",Intermediate 1,Free,https://youtu.be/YLAIoamRlV4?si=Ay9oyiLDhPK3I2Uz,,,,,,,,,,,,,,,,,,TRUE,"Travel, Conversation","Inna (Comprehensible Russian), Nikita (Inhale Russian)",,,
08.10.2024,,4,57,InhaleRussian,"Angela's college experience (Pre-intermediate Russian Comprehensible Input)
",Beginner 2,Free,https://youtu.be/y9o88l-bzKQ?si=kWYit9ne1JOIziTq,,,,,,,,,,,,,,,,,,TRUE,Education,Angela (Inhale Russian),,,
12.10.2024,,15,44,InhaleRussian,"Vasilisa the Beautiful pt. 4 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/-z-z1rEGn54?si=nDfsdQLLwAwcI09i,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
16.10.2024,,7,34,InhaleRussian,"Unusual professions (Intermediate Russian Comprehensible Input)
",Intermediate 1,Free,https://youtu.be/YRpoLyViZNs?si=Gjb-zzYCkVHMzwPD,,,,,,,,,,,,,,,,,,TRUE,Work,Alina (Inhale Russian),,,
18.10.2024,,11,28,InhaleRussian,"Inna tells us about her hobbies and some other stuff (Intermediate Russian)",Intermediate 1,Free,https://youtu.be/FtOwRXf-hhU?si=m_BFoAUojwUSX_vm,,,,,,,,,,,,,,,,,,TRUE,"Lifestyle, Conversation","Inna (Comprehensible Russian), Nikita (Inhale Russian)",,,
22.10.2024,,6,1,InhaleRussian,"Work, rest, dreams (Pre-intermediate Russian)
",Beginner 2,Free,https://youtu.be/pLOa5771GHo?si=iYeyJXQ2Ry92STjz,,,,,,,,,,,,,,,,,,TRUE,Daily life,Angela (Inhale Russian),,,
26.10.2024,,18,26,InhaleRussian,"Vasilisa the Beautiful pt. 5 (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/EvXVPCs-Abs?si=HZtZuXtCTXTks807,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
30.10.2024,,5,59,InhaleRussian,"Sport (Pre-intermediate Russian CI)",Beginner 2,Free,https://youtu.be/Dmzt6rHH_mE?si=yM0xv90OX9E8X1Ba,,,,,,,,,,,,,,,,,,TRUE,Sports,Alina (Inhale Russian),,,
2.11.2024,,23,10,InhaleRussian,"Q&A with Nikita (A2-B1 Russian input)",Beginner 2,Free,https://youtu.be/DOGhj99ASzg?si=rjN70BOLiykiVvBq,,,,,,,,,,,,,,,,,,TRUE,Conversation,Nikita (Inhale Russian),,,
5.11.2024,,4,11,InhaleRussian,Bird on a church (Beginner Russian story),Beginner 1,Free,https://youtu.be/imqbmzO17Oo?si=A6m-KJL_i0RunxNp,,,,,,,,,,,,,,,,,,TRUE,"Culture, History, Stories",Nikita (Inhale Russian),,,
8.11.2024,,7,23,InhaleRussian,"Russian holidays (Beginner Russian)",Beginner 1,Free,https://youtu.be/FetvN4Gw6_I?si=OHPDjPRyLbrvN6GF,,,,,,,,,,,,,,,,,,TRUE,"Holidays & leisure, Culture",Nikita (Inhale Russian),,,
13.11.2024,,14,46,InhaleRussian,"Cookies in the airport (Beginner Russian)",Beginner 1,Free,https://youtu.be/tx2asFJ3jFA?si=_f2FkRZJgFexDlgb,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
15.11.2024,,13,41,InhaleRussian,Slow conversation about Moscow and other topics (Intermediate Russian),Intermediate 1,Free,https://youtu.be/23rJ8Ir-80I?si=e7n1wq6d4KEOhZZ3,,,,,,,,,,,,,,,,,,TRUE,Conversation,"Inna (Comprehensible Russian), Nikita (Inhale Russian)",,,
20.11.2024,,11,17,InhaleRussian,"Russian Post-Punk (Russian language listening practice)",Beginner 2,Free,https://youtu.be/bq5o-nXSoCk?si=xuCJ3LaOH7L6h-sV,,,,,,,,,,,,,,,,,,TRUE,Music,Nikita (Inhale Russian),,,
23.11.2024,,4,6,InhaleRussian,"The time police arrived (Intermediate Russian story)",Intermediate 1,Free,https://youtu.be/bjuCFaELtfM?si=NBV-gJLP5MzK5b3c,,,,,,,,,,,,,,,,,,TRUE,Personal stories,Angela (Inhale Russian),,,
29.11.2024,,9,21,InhaleRussian,"The reason why Inna doesn't like coffee (Intermediate Russian)",Intermediate 1,Free,https://youtu.be/JKB722SqoCE?si=fKCa18h7x_YFWRaa,,,,,,,,,,,,,,,,,,TRUE,"Food & kitchen, Conversation","Inna (Comprehensible Russian), Nikita (Inhale Russian)",,,
4.12.2024,,5,59,InhaleRussian,"My favourite visited countries (Pre-intermediate russian)",Beginner 2,Free,https://youtu.be/qYElTErQ3i8?si=WCWT_4y533ifpOKz,,,,,,,,,,,,,,,,,,TRUE,Travel,Angela (Inhale Russian),,,
6.12.2024,,15,37,InhaleRussian,"Chilling with Ruslan (B1-C1 Russian)",Intermediate 2,Free,https://youtu.be/oNDvTAsoEqk?si=vzZKLK5JCQZXCNJ3,,,,,,,,,,,,,,,,,,TRUE,Conversation,Nikita (Inhale Russian),,,
10.12.2024,,7,58,InhaleRussian,This man had 9 gunshot wounds,Beginner 1,Free,https://youtu.be/ZJi1ngwjgew?si=K3rm9vLB2_WudV07,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
13.12.2024,,8,46,InhaleRussian,"She survived plane crash (Beginner Russian Comprehensible Input)",Beginner 1,Free,https://youtu.be/HxvYRbTEAys?si=E79rDaGg2-XxnclW,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
18.12.2024,,8,28,InhaleRussian,"Unboxing (Pre-intermediate Russian Input)",Beginner 2,Free,https://youtu.be/eaQh9du2SgA?si=_qeTsVcz_7ngCtRK,,,,,,,,,,,,,,,,,,TRUE,"""Activities, how-to""",Angela (Inhale Russian),,,
21.12.2024,,6,34,InhaleRussian,How we all met (Intermediate Russian CI),Intermediate 1,Free,https://youtu.be/Tw2ecUW6UUE?si=Xv7ljydk8Ji5U7J7,,,,,,,,,,,,,,,,,,TRUE,Personal stories,Alina (Inhale Russian),,,
8.1.2025,,9,16,InhaleRussian,"Self-surgery in Antarctica (Pre-intermediate Russian CI)",Beginner 2,Free,https://youtu.be/dkl62xOQoc0?si=Kw4EyBG8y2TwLI-R,,,,,,,,,,,,,,,,,,TRUE,Stories,Nikita (Inhale Russian),,,
17.1.2025,,10,33,InhaleRussian,"Talking about fobias and religion (Intermediate Russian Comprehensible Input)",Intermediate 1,Free,https://youtu.be/CVLpeppwinA?si=cWLwiVOBKePid9db,,,,,,,,,,,,,,,,,,TRUE,Conversation,Nikita (Inhale Russian),,,
25.1.2025,,4,50,InhaleRussian,Some russian movies (Intermediate Russian Input),Intermediate 1,Free,https://youtu.be/huHPN4zwZZo?si=hMWG7xAuM5QHlmyW,,,,,,,,,,,,,,,,,,TRUE,Movies & TV,Angela (Inhale Russian),,,
